# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# BANCO DE PERGUNTAS - PROGRAMACAO, APIS, BANCO DE DADOS E ARQUITETURA (40 perguntas)
# Bloco A - Programacao e fundamentos
OOP|EASY_PLUS|Uma diferença fundamental entre interface e classe abstrata é que uma interface tradicionalmente:|Não mantém estado (atributos com valor), apenas contratos de comportamento;Sempre possui construtor com lógica de inicialização;Só pode ser implementada por uma única classe;Nunca pode ter mais de um método|1
OOP|MEDIUM_PLUS|Uma classe abstrata, diferente de uma interface, geralmente permite:|Compartilhar código/estado comum entre subclasses através de herança única;Ser implementada por múltiplas classes ao mesmo tempo sem qualquer hierarquia;Existir sem nenhum método ou atributo;Ser instanciada diretamente sem subclasses|1
SOLID|EASY|Os princípios SOLID têm como objetivo principal tornar o código:|Mais manutenível, flexível e menos propenso a efeitos colaterais ao mudar;Mais difícil de entender propositalmente;Mais rápido em termos de tempo de execução apenas;Independente de qualquer linguagem orientada a objetos|1
SOLID|MEDIUM|Ignorar os princípios SOLID em um projeto tende a resultar, ao longo do tempo, em:|Código mais rígido, frágil e difícil de estender;Código automaticamente mais performático;Menor necessidade de testes;Nenhuma consequência prática relevante|1
OOP|MEDIUM|Composição, comparada à herança, geralmente oferece:|Maior flexibilidade e menor acoplamento entre classes;Um acoplamento sempre maior entre as classes;Impossibilidade de reutilizar comportamento;Uma hierarquia de classes obrigatoriamente mais profunda|1
OOP|HARD|Um cenário em que a herança tende a causar problemas é quando:|Uma subclasse é forçada a herdar comportamentos que não fazem sentido para ela;As classes envolvidas compartilham exatamente o mesmo comportamento;Não existe nenhuma relação "é um" (is-a) real entre as classes;A composição também seria aplicável sem qualquer diferença prática|1
ALGORITHMS|EASY_PLUS|A notação Big O é usada principalmente para descrever:|Como o tempo ou espaço de um algoritmo cresce em relação ao tamanho da entrada;O número exato de linhas de código de um programa;A cor da interface de um sistema;O custo financeiro de um servidor|1
ALGORITHMS|HARD|Entender a complexidade Big O de um algoritmo é importante principalmente para:|Prever como sua performance vai se comportar à medida que os dados crescem;Definir o nome das variáveis do código;Escolher a cor do editor de código;Substituir totalmente a necessidade de testes|1
OOP|EASY_PLUS|Um objeto imutável é aquele cujo estado:|Não pode ser alterado após sua criação;Muda livremente a qualquer momento;É sempre nulo;É definido apenas em tempo de execução por outras threads|1
OOP|MEDIUM_PLUS|A imutabilidade é especialmente útil em cenários de:|Concorrência, pois evita efeitos colaterais e condições de corrida;Armazenamento em disco apenas;Compilação de código apenas;Design visual de interfaces|1
# Bloco B - APIs e backend
REST|EASY_PLUS|O método HTTP PUT é tradicionalmente usado para:|Substituir/atualizar um recurso por completo;Atualizar apenas parte de um recurso;Apenas ler dados de um recurso;Apenas apagar um recurso|1
