# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# Bloco A - Figuras importantes da Inteligencia Artificial
AI|VERY_EASY|O "Teste de Turing", usado para avaliar comportamento inteligente em máquinas, foi proposto por:|Alan Turing;John McCarthy;Marvin Minsky;Geoffrey Hinton|1
AI|VERY_EASY|O termo "Inteligência Artificial" foi cunhado formalmente por:|John McCarthy;Alan Turing;Frank Rosenblatt;Yann LeCun|1
AI|VERY_EASY|Geoffrey Hinton é amplamente conhecido como um dos pioneiros das:|Redes neurais profundas (Deep Learning);Redes de computadores;Bancos de dados relacionais;Linguagens de programação funcionais|1
AI|EASY|Yann LeCun é reconhecido por seu trabalho pioneiro em:|Redes neurais convolucionais (CNNs);Criptografia;Sistemas operacionais;Bancos de dados NoSQL|1
AI|EASY|Yoshua Bengio é um pesquisador amplamente reconhecido na área de:|Deep Learning;Redes de computadores;Segurança da informação;Bancos de dados distribuídos|1
AI|EASY|Andrew Ng é bastante conhecido por popularizar o ensino de:|Machine Learning através de cursos online;Redes de telefonia;Sistemas operacionais;Linguagens de montagem (assembly)|1
AI|EASY_PLUS|Fei-Fei Li é reconhecida por sua contribuição fundamental à criação do dataset:|ImageNet;MNIST exclusivamente criado por ela;CIFAR exclusivamente criado por ela;COCO exclusivamente criado por ela|1
AI|EASY_PLUS|Ilya Sutskever é conhecido por seu papel de destaque na pesquisa sobre:|Modelos de linguagem e redes neurais profundas;Bancos de dados relacionais;Redes de telefonia móvel;Protocolos de e-mail|1
AI|EASY_PLUS|Marvin Minsky é considerado um dos fundadores do campo da IA e cofundador do laboratório de IA da:|MIT (Massachusetts Institute of Technology);Stanford exclusivamente;Harvard exclusivamente;Oxford exclusivamente|1
AI|MEDIUM|Frank Rosenblatt é conhecido por criar um dos primeiros modelos de rede neural, chamado:|Perceptron;Transformer;LSTM;Autoencoder|1
AI|MEDIUM|Allen Newell e Herbert Simon são reconhecidos por seu trabalho pioneiro em IA simbólica e no programa:|Logic Theorist;AlphaGo;Deep Blue;Watson|1
AI|MEDIUM|Judea Pearl é amplamente reconhecido por suas contribuições fundamentais em:|Redes bayesianas e inferência causal;Redes neurais convolucionais;Criptografia moderna;Bancos de dados relacionais|1
AI|MEDIUM_PLUS|Demis Hassabis é cofundador de um laboratório de pesquisa em IA conhecido por criar o AlphaGo, chamado:|DeepMind;OpenAI;Anthropic;FAIR (Facebook AI Research)|1
AI|MEDIUM_PLUS|Jürgen Schmidhuber e Sepp Hochreiter são reconhecidos por criar a arquitetura de rede neural recorrente:|LSTM (Long Short-Term Memory);Transformer;GAN;CNN|1
AI|MEDIUM_PLUS|Joseph Weizenbaum é conhecido por criar um dos primeiros programas de processamento de linguagem natural, chamado:|ELIZA;Watson;AlphaGo;GPT|1
AI|HARD|Ian Goodfellow é reconhecido por propor originalmente o conceito de:|GANs (Redes Adversariais Generativas);Redes neurais convolucionais;Árvores de decisão;Máquinas de vetores de suporte|1
AI|HARD|Vladimir Vapnik é conhecido por contribuições teóricas fundamentais para as:|Máquinas de Vetores de Suporte (SVM);Redes neurais profundas modernas;Redes bayesianas;Árvores de decisão|1
AI|HARD|Stuart Russell é coautor, junto com Peter Norvig, de um dos livros-texto mais influentes sobre:|Inteligência Artificial em geral ("Artificial Intelligence: A Modern Approach");Redes de computadores;Bancos de dados relacionais;Sistemas operacionais|1
AI|HARD_PLUS|David Rumelhart, junto com outros pesquisadores, é reconhecido por popularizar o algoritmo de treinamento de redes neurais conhecido como:|Retropropagação (Backpropagation);Gradient Boosting;K-means;Random Forest|1
AI|HARD_PLUS|John Hopfield é conhecido por propor um modelo de rede neural recorrente associativa conhecida como:|Rede de Hopfield;Transformer;GAN;Perceptron simples|1
AI|HARD_PLUS|Terry Winograd é conhecido por criar um dos primeiros sistemas de compreensão de linguagem natural, chamado:|SHRDLU;ELIZA;Watson;AlphaGo|1
AI|VERY_HARD|Christopher Manning é um pesquisador de destaque na área de:|Processamento de Linguagem Natural (PLN);Robótica industrial;Bancos de dados distribuídos;Redes de telefonia|1
AI|VERY_HARD|Corinna Cortes, junto com Vladimir Vapnik, contribuiu para a formalização das:|Máquinas de Vetores de Suporte (SVM);Redes neurais convolucionais modernas;Árvores de decisão;Redes bayesianas|1
AI|VERY_HARD|Norbert Wiener é considerado o fundador de um campo interdisciplinar relacionado ao controle e comunicação em sistemas, chamado:|Cibernética;Deep Learning;Processamento de Linguagem Natural;Visão Computacional|1
AI|EXPERT|Arthur Samuel é reconhecido por popularizar o termo "Machine Learning" através de seu trabalho pioneiro em um programa que jogava:|Damas (Checkers);Xadrez;Go;Poker|1
AI|EXPERT|Rosalind Picard é reconhecida por fundar e nomear o campo de pesquisa conhecido como:|Computação Afetiva (Affective Computing);Visão Computacional;Redes Neurais Convolucionais;Aprendizado por Reforço|1
AI|MASTER|Warren McCulloch e Walter Pitts são reconhecidos por propor, em 1943, um dos primeiros modelos matemáticos de:|Neurônio artificial;Rede Transformer;Algoritmo genético;Árvore de decisão|1
AI|MASTER|Douglas Hofstadter é conhecido por seu livro premiado que explora temas de inteligência, autorreferência e cognição, intitulado aproximadamente:|"Gödel, Escher, Bach";"Clean Code";"The Society of Mind" (este de Minsky);"Thinking, Fast and Slow" (este de Kahneman)|1
AI|MASTER|Marvin Minsky também é autor de um livro influente que descreve a mente como uma sociedade de processos simples, intitulado:|"The Society of Mind";"Gödel, Escher, Bach";"Superintelligence";"Life 3.0"|1
AI|MASTER|Alan Turing, além do Teste de Turing, também é reconhecido por seu trabalho teórico fundamental descrevendo um modelo abstrato de computação conhecido como:|Máquina de Turing;Rede de Hopfield;Máquina de Boltzmann;Autômato Celular|1
# Bloco B - Modelos de IA e LLMs
AI|VERY_EASY|A sigla LLM significa:|Large Language Model;Long Learning Machine;Linear Logic Model;Local Language Machine|1
AI|VERY_EASY|GPT é um exemplo de:|Modelo de linguagem;Banco de dados;Sistema operacional;Protocolo de rede|1
AI|EASY|Um modelo de linguagem é treinado principalmente para:|Prever e gerar sequências de texto;Compactar arquivos de imagem;Gerenciar redes de computadores;Substituir bancos de dados relacionais|1
AI|EASY|O termo "treinamento" (training) de um modelo de IA se refere ao processo de:|Ajustar os parâmetros do modelo a partir de dados;Apenas instalar o software;Apenas testar a interface do usuário;Apenas documentar o modelo|1
AI|EASY_PLUS|A arquitetura que revolucionou os modelos de linguagem modernos, introduzida em um artigo de 2017, é conhecida como:|Transformer;CNN;Random Forest;K-means|1
AI|EASY_PLUS|BERT é um modelo de linguagem baseado em Transformer, conhecido por ser especialmente bom em:|Compreensão de texto (tarefas bidirecionais);Geração exclusiva de imagens;Compressão de arquivos;Roteamento de rede|1
AI|MEDIUM|"Fine-tuning" (ajuste fino) de um modelo de IA consiste em:|Treinar adicionalmente um modelo pré-treinado para uma tarefa específica;Apagar todos os dados de treinamento original;Executar o modelo sem qualquer treinamento prévio;Substituir o modelo por completo sem reaproveitamento|1
AI|MEDIUM|O "pré-treinamento" (pretraining) de um LLM geralmente ocorre sobre:|Um grande volume de texto genérico antes de ajustes específicos;Apenas um pequeno conjunto de dados rotulado manualmente;Nenhum dado, apenas regras fixas;Apenas código-fonte de programas|1
AI|MEDIUM_PLUS|O "mecanismo de atenção" (attention), central nos Transformers, permite ao modelo:|Ponderar a importância de diferentes partes da entrada ao gerar uma saída;Ignorar completamente o contexto da entrada;Processar apenas uma palavra por vez sem qualquer relação entre elas;Substituir totalmente a necessidade de treinamento|1
AI|MEDIUM_PLUS|A "janela de contexto" (context window) de um LLM define:|A quantidade máxima de tokens que o modelo pode considerar em uma única interação;O número de usuários simultâneos suportados;O tamanho do disco necessário para instalar o modelo;O número de parâmetros do modelo|1
AI|HARD|Os "parâmetros" de um modelo de IA representam:|Os valores internos ajustáveis aprendidos durante o treinamento;Apenas os dados de entrada fornecidos pelo usuário;Apenas o número de usuários do sistema;Apenas configurações de hardware|1
AI|HARD|"Inferência" em modelos de IA se refere ao processo de:|Usar um modelo já treinado para gerar previsões/respostas a partir de novas entradas;Treinar o modelo do zero;Apagar dados de treinamento;Apenas armazenar dados sem processamento|1
AI|HARD_PLUS|A técnica conhecida como "few-shot learning" consiste em fornecer ao modelo:|Alguns exemplos dentro do próprio prompt para orientar a resposta;Milhões de novos exemplos para retreinar o modelo do zero;Nenhum exemplo, apenas a pergunta;Apenas dados de código-fonte|1
AI|HARD_PLUS|"RLHF" (Reinforcement Learning from Human Feedback) é usado para:|Ajustar o comportamento de um modelo com base em preferências humanas;Treinar exclusivamente com dados sintéticos sem qualquer supervisão;Substituir totalmente o pré-treinamento;Reduzir o tamanho do modelo automaticamente|1
AI|VERY_HARD|"Alucinação" (hallucination), em LLMs, se refere a:|Geração de informações incorretas ou inventadas apresentadas como fatos;Um erro de hardware físico;Uma falha exclusiva de rede;Um recurso desejado do modelo|1
AI|VERY_HARD|Modelos "multimodais" são capazes de processar e/ou gerar:|Diferentes tipos de dados, como texto, imagem e áudio;Apenas texto em um único idioma;Apenas números inteiros;Apenas arquivos de configuração|1
