# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# Bloco A - KISS, DRY, YAGNI e SOLID
CLEAN_CODE|VERY_EASY|A sigla KISS significa "Keep It Simple,___"?|Stupid;Slow;Secure;Static|1
CLEAN_CODE|EASY|O princípio KISS recomenda que o design de um sistema seja:|Complexo;Simples;Ofuscado;Redundante|2
CLEAN_CODE|EASY_PLUS|KISS busca principalmente reduzir:|Complexidade desnecessária;Cobertura de testes;Tamanho da equipe;Orçamento do projeto|1
CLEAN_CODE|MEDIUM|Aplicar KISS geralmente significa evitar:|Over-engineering;Documentação;Testes automatizados;Controle de versão|1
CLEAN_CODE|MEDIUM_PLUS|Um código que segue o KISS é mais fácil de:|Esconder;Entender e manter;Ofuscar;Compilar apenas|2
CLEAN_CODE|HARD|KISS pode entrar em conflito com a prática de:|Otimização prematura;Lançamentos frequentes;Testes automatizados;Nomenclatura clara|1
CLEAN_CODE|HARD_PLUS|Camadas de abstração excessivas sem necessidade real tendem a violar:|KISS;Atomicidade;ACID;Normalização|1
CLEAN_CODE|VERY_HARD|KISS complementa fortemente qual outro princípio, quanto a evitar funcionalidades desnecessárias?|YAGNI;CAP;ACID;BASE|1
CLEAN_CODE|EXPERT|Uma crítica comum ao uso excessivo do KISS é que ele pode:|Resultar em falta de extensibilidade se levado ao extremo;Sempre aumentar a complexidade;Eliminar a necessidade de testes;Ignorar completamente os requisitos|1
CLEAN_CODE|MASTER|O princípio KISS tem origem informal em práticas de engenharia, frequentemente associado a:|Simplicidade no design de sistemas de engenharia em geral;Um teorema formal da ciência da computação;A especificação de uma linguagem específica;Uma patente registrada|1
CLEAN_CODE|VERY_EASY|A sigla DRY significa "Don't Repeat___"?|Yourself;Everything;Code;Tests|1
CLEAN_CODE|EASY|O princípio DRY busca evitar:|Duplicação de código;Testes automatizados;Documentação;Convenções de nomenclatura|1
CLEAN_CODE|EASY_PLUS|Violar o DRY torna a manutenção do sistema:|Mais fácil;Mais difícil, pois há múltiplos lugares para atualizar;Irrelevante;Automática|2
