# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# BANCO DE PERGUNTAS - ALGORITMOS UTEIS E OTIMIZACAO (50 perguntas)
# Nivel 1 VERY_EASY | 2 EASY | 3 EASY_PLUS | 4 MEDIUM | 5 MEDIUM_PLUS | 6 HARD | 7 HARD_PLUS | 8 VERY_HARD | 9 EXPERT | 10 MASTER
ALGORITHMS|VERY_EASY|Um algoritmo pode ser descrito como:|Uma sequência finita e bem definida de passos para resolver um problema;Um tipo de banco de dados;Um protocolo de rede;Um arquivo de configuração|1
ALGORITHMS|VERY_EASY|A notação usada para descrever a complexidade de tempo/espaço de um algoritmo é conhecida como:|Notação Big-O;Notação BNF;Notação UML;Notação JSON|1
ALGORITHMS|VERY_EASY|Um algoritmo de busca binária exige que os dados estejam:|Ordenados;Sempre desordenados;Armazenados apenas em disco;Criptografados|1
ALGORITHMS|VERY_EASY|O algoritmo Bubble Sort funciona basicamente:|Comparando e trocando elementos adjacentes repetidamente;Dividindo o problema em subproblemas recursivos sempre;Usando apenas hashing;Usando grafos|1
ALGORITHMS|VERY_EASY|A busca linear (linear search) percorre os elementos:|Um por um, em sequência, até encontrar o alvo;Sempre pela metade, como a busca binária;Apenas em estruturas ordenadas;Nunca percorre todos os elementos|1
ALGORITHMS|EASY|O algoritmo Quicksort utiliza a estratégia de:|Dividir e conquistar, escolhendo um pivô;Apenas comparação de elementos adjacentes;Busca em largura;Programação linear|1
ALGORITHMS|EASY|O algoritmo Merge Sort funciona dividindo o array e depois:|Mesclando (merge) as partes ordenadas;Ignorando metade dos dados;Usando apenas um pivô fixo;Aplicando hashing nos elementos|1
ALGORITHMS|EASY|A Busca em Largura (BFS) explora um grafo:|Nível por nível, a partir do nó inicial;Sempre indo o mais fundo possível primeiro;De forma aleatória sem qualquer ordem;Apenas em grafos não direcionados|1
ALGORITHMS|EASY|A Busca em Profundidade (DFS) explora um grafo:|Indo o mais fundo possível em um caminho antes de retroceder;Sempre nível por nível;Apenas em árvores binárias balanceadas;Sem usar recursão ou pilha|1
ALGORITHMS|EASY|A complexidade de tempo O(1) representa um algoritmo com tempo de execução:|Constante, independente do tamanho da entrada;Que cresce exponencialmente;Que cresce linearmente;Que cresce de forma quadrática|1
ALGORITHMS|EASY_PLUS|A complexidade de tempo O(n²) é característica de algoritmos como:|Bubble Sort em seu pior caso;Busca binária;Acesso direto a um array por índice;Busca em tabela hash em caso médio|1
ALGORITHMS|EASY_PLUS|O algoritmo de Dijkstra é usado para encontrar:|O caminho mais curto entre nós em um grafo com pesos não negativos;O maior caminho possível em qualquer grafo;Apenas ciclos em um grafo;A ordenação de um array|1
ALGORITHMS|EASY_PLUS|Uma "árvore de busca binária" (BST) organiza os dados de forma que, para cada nó, os valores à esquerda são:|Menores, e os valores à direita são maiores;Sempre iguais aos da direita;Armazenados aleatoriamente sem ordem;Sempre maiores que os da direita|1
ALGORITHMS|EASY_PLUS|O algoritmo de ordenação Insertion Sort constrói a solução:|Inserindo cada elemento na posição correta entre os já ordenados;Dividindo o array pela metade recursivamente;Usando exclusivamente hashing;Usando grafos ponderados|1
ALGORITHMS|EASY_PLUS|Recursão em algoritmos ocorre quando uma função:|Chama a si mesma para resolver subproblemas menores;Nunca pode chamar a si mesma;Sempre executa em tempo constante;Substitui totalmente os loops em qualquer linguagem|1
ALGORITHMS|MEDIUM|O algoritmo A* (A-Star) é uma extensão de busca em grafos que utiliza:|Uma heurística para guiar a busca de forma mais eficiente;Apenas força bruta sem qualquer heurística;Apenas ordenação de arrays;Apenas hashing de strings|1
ALGORITHMS|MEDIUM|Programação Dinâmica (Dynamic Programming) é uma técnica que resolve problemas:|Quebrando-os em subproblemas e reaproveitando soluções já calculadas;Sempre recalculando tudo do zero repetidamente;Apenas com números aleatórios;Apenas em grafos não direcionados|1
ALGORITHMS|MEDIUM|"Memoização" (memoization), técnica usada em Programação Dinâmica, consiste em:|Armazenar resultados de subproblemas já resolvidos para evitar recomputação;Apagar resultados antigos automaticamente;Ignorar subproblemas repetidos;Substituir recursão por hashing sempre|1
ALGORITHMS|MEDIUM|Um algoritmo "guloso" (greedy) toma decisões:|Localmente ótimas em cada etapa, esperando um bom resultado global;Sempre analisando todas as possibilidades futuras antes de decidir;De forma totalmente aleatória;Apenas após o término completo do problema|1
ALGORITHMS|MEDIUM|A complexidade O(log n), típica da busca binária, cresce:|De forma muito mais lenta que o tamanho da entrada;Exatamente proporcional ao tamanho da entrada;De forma exponencial;De forma quadrática|1
ALGORITHMS|MEDIUM_PLUS|O algoritmo de Bellman-Ford, diferente do Dijkstra, é capaz de lidar com:|Grafos que possuem arestas com pesos negativos;Apenas grafos sem qualquer peso;Apenas grafos com um único nó;Apenas árvores binárias|1
ALGORITHMS|MEDIUM_PLUS|O algoritmo de Floyd-Warshall calcula:|O caminho mais curto entre todos os pares de nós em um grafo;Apenas o caminho mais curto a partir de um único nó;Apenas a ordenação de um array;Apenas o maior elemento de uma lista|1
ALGORITHMS|MEDIUM_PLUS|Os algoritmos de Kruskal e Prim são usados para encontrar:|A Árvore Geradora Mínima (Minimum Spanning Tree) de um grafo;O maior caminho possível em um grafo;A ordenação de elementos;Ciclos negativos em um grafo|1
ALGORITHMS|MEDIUM_PLUS|A estrutura de dados "heap" é frequentemente usada para implementar de forma eficiente uma:|Fila de prioridade;Pilha simples sem prioridade;Lista encadeada simples;Tabela hash|1
ALGORITHMS|MEDIUM_PLUS|O algoritmo Heap Sort utiliza a estrutura de dados heap para:|Ordenar elementos extraindo repetidamente o maior (ou menor) valor;Buscar elementos em tempo constante;Armazenar grafos ponderados;Realizar hashing de strings|1
ALGORITHMS|HARD|O algoritmo de "Union-Find" (Disjoint Set Union) é frequentemente usado para:|Verificar e unir conjuntos de elementos, útil em algoritmos como Kruskal;Ordenar arrays em tempo linear;Realizar busca binária;Calcular hashes criptográficos|1
ALGORITHMS|HARD|O algoritmo KMP (Knuth-Morris-Pratt) é utilizado para:|Buscar um padrão (substring) dentro de um texto de forma eficiente;Ordenar strings alfabeticamente;Comprimir arquivos de texto;Criptografar mensagens|1
ALGORITHMS|HARD|Backtracking é uma técnica algorítmica que:|Explora possibilidades e retrocede quando uma escolha não leva a uma solução válida;Nunca retrocede após uma escolha;Sempre resolve o problema em tempo constante;É aplicável apenas a problemas numéricos|1
ALGORITHMS|HARD|O problema do "Caixeiro Viajante" (Traveling Salesman Problem) busca encontrar:|A rota mais curta que visita todas as cidades exatamente uma vez e retorna à origem;O caminho mais longo possível entre duas cidades;Apenas a ordenação de uma lista de cidades;O maior grafo possível|1
ALGORITHMS|HARD|A técnica de "Divisão e Conquista" (Divide and Conquer) resolve um problema:|Dividindo-o em subproblemas menores, resolvendo-os e combinando os resultados;Sempre resolvendo o problema inteiro de uma só vez, sem divisão;Ignorando partes do problema original;Apenas através de tentativa e erro aleatório|1
ALGORITHMS|HARD_PLUS|A técnica de otimização "Simulated Annealing" (Recozimento Simulado) é inspirada em um processo:|Físico de resfriamento controlado de metais;Biológico de reprodução celular;Químico de fermentação;Elétrico de indução magnética|1
ALGORITHMS|HARD_PLUS|Algoritmos Genéticos, usados em problemas de otimização, são inspirados em conceitos de:|Seleção natural e evolução biológica;Física quântica;Redes de computadores;Teoria dos números primos|1
ALGORITHMS|HARD_PLUS|A Programação Linear (Linear Programming) é usada para resolver problemas de otimização sujeitos a:|Restrições lineares, buscando maximizar ou minimizar uma função objetivo;Nenhuma restrição, apenas maximização livre;Apenas problemas de ordenação;Apenas problemas de busca em grafos|1
ALGORITHMS|HARD_PLUS|O método "Branch and Bound" é uma técnica de otimização que:|Explora o espaço de soluções descartando ramos que não podem melhorar a melhor solução encontrada;Explora sempre todas as soluções possíveis sem qualquer descarte;É aplicável apenas a problemas de ordenação;Nunca é usado em problemas de otimização combinatória|1
ALGORITHMS|HARD_PLUS|O algoritmo de Rabin-Karp para busca de padrões em texto utiliza principalmente:|Funções de hashing para comparar substrings de forma eficiente;Apenas comparação caractere a caractere sem qualquer otimização;Ordenação prévia obrigatória do texto;Estruturas de grafos|1
ALGORITHMS|VERY_HARD|Um problema é classificado como "NP-Completo" quando:|Está em NP e todo problema em NP pode ser reduzido a ele em tempo polinomial;Pode ser resolvido em tempo constante sempre;Não possui nenhuma solução conhecida ou possível;É resolvido exclusivamente por algoritmos gulosos|1
ALGORITHMS|VERY_HARD|A questão em aberto "P vs NP" busca responder se:|Todo problema cuja solução pode ser verificada rapidamente também pode ser resolvido rapidamente;Todos os algoritmos de ordenação têm a mesma complexidade;Grafos sempre possuem caminhos únicos entre dois nós;A busca binária é sempre mais lenta que a busca linear|1
ALGORITHMS|VERY_HARD|O algoritmo de Ford-Fulkerson é usado para calcular:|O fluxo máximo em uma rede de fluxo (max flow);O caminho mais curto entre dois nós;A ordenação de um array;O hashing de uma string|1
ALGORITHMS|VERY_HARD|A técnica de "Programação Dinâmica" difere da recursão simples principalmente por:|Evitar recomputação de subproblemas sobrepostos através de armazenamento de resultados;Nunca utilizar qualquer forma de recursão;Ser sempre mais lenta que a recursão pura;Ser aplicável apenas a problemas de ordenação|1
ALGORITHMS|VERY_HARD|O algoritmo de compressão de Huffman constrói uma árvore para:|Atribuir códigos mais curtos a símbolos mais frequentes, otimizando o tamanho da compressão;Ordenar elementos em ordem alfabética;Buscar caminhos mínimos em grafos;Realizar hashing criptográfico seguro|1
ALGORITHMS|EXPERT|O algoritmo de "Descida do Gradiente" (Gradient Descent), amplamente usado em otimização de modelos de aprendizado de máquina, busca minimizar uma função ajustando parâmetros na direção:|Oposta ao gradiente (derivada) da função;Sempre aleatória, sem qualquer direção definida;Exclusivamente positiva do gradiente;Perpendicular ao gradiente sempre|1
ALGORITHMS|EXPERT|O algoritmo de Karger para corte mínimo (minimum cut) em grafos utiliza principalmente:|Contração aleatória de arestas;Ordenação determinística de vértices;Busca binária sobre os pesos;Compressão de dados|1
ALGORITHMS|EXPERT|A técnica de "Otimização por Colônia de Formigas" (Ant Colony Optimization) é inspirada no comportamento de:|Formigas buscando o caminho mais curto até uma fonte de alimento;Pássaros migrando em bando;Peixes nadando em cardume;Abelhas polinizando flores|1
