# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# BANCO DE PERGUNTAS - CODIGOS DE STATUS HTTP (50 perguntas)
REST|VERY_EASY|Códigos de status HTTP que começam com "2" (2xx) indicam:|Sucesso na requisição;Erro do cliente;Erro do servidor;Redirecionamento|1
REST|VERY_EASY|Códigos de status HTTP que começam com "4" (4xx) indicam:|Erro causado pelo cliente;Sucesso na requisição;Erro do servidor;Informação provisória|1
REST|EASY|Códigos de status HTTP que começam com "5" (5xx) indicam:|Erro do lado do servidor;Sucesso na requisição;Erro do cliente;Redirecionamento permanente|1
REST|EASY|Códigos de status HTTP que começam com "3" (3xx) indicam:|Redirecionamento;Sucesso definitivo;Erro do cliente;Erro do servidor|1
REST|MEDIUM_PLUS|Códigos de status HTTP que começam com "1" (1xx) indicam:|Respostas informativas/provisórias;Sucesso final da requisição;Erro do cliente;Erro do servidor|1
REST|VERY_EASY|O código HTTP 200 significa:|OK (requisição bem-sucedida);Não encontrado;Erro interno do servidor;Não autorizado|1
REST|EASY|O código HTTP 201 é geralmente retornado quando:|Um novo recurso é criado com sucesso;Um recurso é apagado;Ocorre um erro de validação;O recurso não foi encontrado|1
REST|EASY|O código HTTP 204 significa:|Sucesso, porém sem conteúdo no corpo da resposta;Erro de autenticação;Recurso não encontrado;Redirecionamento permanente|1
REST|MEDIUM_PLUS|O código HTTP 202 indica que a requisição:|Foi aceita para processamento, mas ainda não foi concluída;Foi processada e concluída imediatamente com sucesso total;Foi rejeitada pelo servidor;Não pôde ser entendida pelo servidor|1
REST|HARD|O código HTTP 206 é utilizado quando:|O servidor retorna apenas parte do conteúdo solicitado (requisições parciais);O conteúdo completo é retornado normalmente;O recurso solicitado não existe;O servidor está temporariamente indisponível|1
REST|EASY_PLUS|O código HTTP 301 indica que um recurso foi:|Movido permanentemente para uma nova URL;Encontrado sem qualquer alteração;Apagado definitivamente;Bloqueado por questões legais|1
REST|EASY_PLUS|O código HTTP 302 indica um redirecionamento:|Temporário para outra URL;Permanente para outra URL;Que nunca deve ser seguido pelo navegador;De erro do servidor|1
REST|MEDIUM|O código HTTP 304 indica que:|O recurso não foi modificado desde a última requisição (cache ainda válido);O recurso foi modificado e deve ser baixado novamente;O recurso foi removido permanentemente;Houve um erro de autenticação|1
REST|HARD_PLUS|O código HTTP 307 se diferencia do 302 tradicional principalmente por:|Garantir que o método HTTP original da requisição seja mantido no redirecionamento;Ser um redirecionamento permanente;Nunca poder ser usado com métodos POST;Indicar sempre um erro do cliente|1
REST|HARD_PLUS|O código HTTP 308 é equivalente ao 301, mas com a diferença de que:|Garante a preservação do método HTTP original na requisição redirecionada;É um redirecionamento temporário, e não permanente;Indica erro do servidor, não redirecionamento;Nunca é utilizado na prática|1
REST|EXPERT|O código HTTP 303 é utilizado tipicamente para indicar que o cliente deve:|Buscar o recurso resultante em outra URL usando o método GET;Repetir exatamente a mesma requisição original sem qualquer alteração;Nunca seguir o redirecionamento indicado;Tratar a resposta como um erro do servidor|1
REST|EASY|O código HTTP 400 indica que:|A requisição enviada pelo cliente possui sintaxe ou dados inválidos;O recurso foi encontrado com sucesso;O servidor está fora do ar;O recurso foi movido permanentemente|1
REST|EASY|O código HTTP 404 indica que:|O recurso solicitado não foi encontrado;A requisição foi bem-sucedida;O servidor está sobrecarregado;O usuário não está autenticado|1
REST|EASY_PLUS|O código HTTP 401 indica que:|O cliente não está autenticado e precisa se identificar para acessar o recurso;O cliente está autenticado, mas não tem permissão para a ação;O recurso não existe;O servidor apresentou um erro interno|1
REST|EASY_PLUS|O código HTTP 403 indica que:|O acesso ao recurso foi negado, mesmo que o cliente esteja identificado;O cliente precisa se autenticar pela primeira vez;O recurso não foi encontrado;A requisição foi bem-sucedida|1
REST|MEDIUM|O código HTTP 405 indica que:|O método HTTP utilizado não é permitido para aquele recurso;O recurso foi encontrado com sucesso;O usuário não está autenticado;O servidor está temporariamente indisponível|1
REST|MEDIUM|O código HTTP 409 indica:|Um conflito no estado atual do recurso em relação à requisição enviada;Sucesso total da operação;Ausência de autenticação;Um erro interno do servidor|1
REST|MEDIUM_PLUS|O código HTTP 410 indica que um recurso:|Foi removido permanentemente e não estará mais disponível;Está apenas temporariamente indisponível;Nunca existiu;Foi encontrado com sucesso|1
REST|MEDIUM_PLUS|O código HTTP 429 indica que o cliente:|Enviou requisições demais em um curto período (rate limiting);Não está autenticado;Enviou dados em formato inválido;Acessou um recurso já removido|1
REST|HARD|O código HTTP 406 indica que o servidor:|Não pode gerar uma resposta compatível com os critérios de aceitação enviados pelo cliente;Aceitou totalmente a requisição sem qualquer restrição;Está temporariamente fora do ar;Encontrou o recurso com sucesso|1
REST|HARD|O código HTTP 408 indica que:|O servidor esgotou o tempo de espera pela requisição completa do cliente;A requisição foi processada com sucesso;O recurso foi movido permanentemente;O cliente não está autorizado|1
REST|HARD_PLUS|O código HTTP 411 indica que o servidor:|Recusa a requisição porque o cabeçalho Content-Length é obrigatório e não foi enviado;Aceitou a requisição sem qualquer cabeçalho necessário;Encontrou o recurso com sucesso;Redirecionou a requisição para outra URL|1
REST|HARD_PLUS|O código HTTP 413 indica que:|O corpo da requisição é grande demais para o servidor processar;O recurso solicitado não existe;O usuário não está autenticado;A URL da requisição é inválida|1
REST|VERY_HARD|O código HTTP 414 indica que:|A URI (endereço) da requisição é longa demais para o servidor processar;O corpo da requisição é grande demais;O tipo de mídia enviado não é suportado;O recurso foi movido permanentemente|1
REST|VERY_HARD|O código HTTP 415 indica que:|O tipo de mídia (Content-Type) da requisição não é suportado pelo servidor;O corpo da requisição está vazio;O recurso não foi encontrado;O cliente enviou requisições demais em pouco tempo|1
REST|VERY_HARD|O código HTTP 416 indica que:|O intervalo (range) solicitado pelo cliente não pode ser satisfeito pelo servidor;O recurso foi encontrado com sucesso total;O método HTTP utilizado é inválido;O servidor está fora do ar|1
REST|EXPERT|O código HTTP 417 indica que:|A expectativa indicada no cabeçalho "Expect" da requisição não pôde ser atendida pelo servidor;A requisição foi processada com sucesso;O recurso foi removido permanentemente;O servidor está temporariamente indisponível|1
REST|EXPERT|O código HTTP 418, popularmente conhecido como um "easter egg" da especificação HTTP, é associado à frase:|"I'm a teapot" (Eu sou um bule de chá);"Server is sleeping";"Access forever denied";"Infinite loop detected"|1
REST|EXPERT|O código HTTP 422 indica que:|A requisição está bem formada sintaticamente, mas contém erros semânticos que impedem seu processamento;O recurso foi criado com sucesso;O servidor está fora do ar;O usuário não está autenticado|1
REST|MASTER|O código HTTP 425 indica que o servidor:|Está recusando processar uma requisição que pode ser reproduzida (replay), por razões de segurança;Processou a requisição com sucesso, sem qualquer restrição;Encontrou o recurso solicitado normalmente;Redirecionou permanentemente a requisição|1
REST|MASTER|O código HTTP 426 indica que o servidor:|Exige que o cliente atualize (upgrade) para um protocolo diferente para continuar;Aceitou a requisição sem qualquer exigência adicional;Encontrou um erro interno inesperado;Bloqueou o acesso por questões legais|1
REST|MASTER|O código HTTP 428 indica que o servidor:|Exige que a requisição seja condicional, geralmente para evitar conflitos de atualização;Processou a requisição normalmente sem qualquer pré-condição;Não encontrou o recurso solicitado;Está temporariamente fora do ar|1
REST|MASTER|O código HTTP 431 indica que:|Os cabeçalhos (headers) da requisição são grandes demais para o servidor processar;O corpo da requisição é grande demais;A URL da requisição é inválida;O recurso não foi encontrado|1
REST|MASTER|O código HTTP 451, em referência à obra "Fahrenheit 451", indica que o recurso está indisponível por:|Razões legais (censura ou bloqueio jurídico);Excesso de requisições;Erro interno do servidor;Estar temporariamente em manutenção|1
REST|VERY_EASY|O código HTTP 500 indica:|Um erro interno inesperado no servidor;Sucesso da requisição;Um erro causado pelo cliente;Um redirecionamento|1
REST|MEDIUM|O código HTTP 503 indica que o servidor está:|Temporariamente indisponível, geralmente por sobrecarga ou manutenção;Funcionando perfeitamente e respondendo com sucesso;Recusando a requisição por erro do cliente;Redirecionando permanentemente a requisição|1
REST|HARD|O código HTTP 502 costuma indicar que:|Um servidor atuando como gateway/proxy recebeu uma resposta inválida do servidor upstream;O cliente enviou dados corrompidos;O recurso foi encontrado com sucesso;O usuário não está autenticado|1
REST|HARD|O código HTTP 504 indica que:|Um servidor gateway/proxy não recebeu resposta a tempo do servidor upstream;O servidor respondeu com sucesso dentro do tempo esperado;O cliente enviou uma requisição inválida;O recurso foi movido permanentemente|1
REST|HARD_PLUS|O código HTTP 501 indica que o servidor:|Não possui suporte/implementação para a funcionalidade requisitada;Processou a requisição normalmente com sucesso;Está apenas temporariamente sobrecarregado;Encontrou o recurso solicitado sem problemas|1
REST|EXPERT|O código HTTP 505 indica que:|A versão do protocolo HTTP utilizada na requisição não é suportada pelo servidor;O servidor está apenas temporariamente indisponível;O recurso foi encontrado com sucesso;Houve um erro de autenticação|1
REST|VERY_HARD|O código HTTP 100 indica que:|O servidor recebeu os cabeçalhos iniciais e o cliente pode continuar enviando o corpo da requisição;A requisição foi concluída com sucesso total;Houve um erro fatal no servidor;O recurso foi movido permanentemente|1
REST|EXPERT|O código HTTP 101 é utilizado quando:|O servidor concorda em trocar o protocolo de comunicação, como em uma conexão WebSocket;A requisição falhou completamente;O recurso foi apagado permanentemente;O cliente enviou requisições demais em pouco tempo|1
REST|MASTER|O código HTTP 203 indica que a informação retornada:|Foi modificada por um proxy intermediário e não vem diretamente da origem original;É idêntica, sem qualquer alteração, à resposta original do servidor de origem;Representa um erro grave do servidor;Indica ausência total de conteúdo|1
REST|MASTER|O código HTTP 205 indica que o cliente deve:|Resetar a visualização do documento (ex: limpar um formulário) após a requisição;Redirecionar permanentemente para outra URL;Repetir a requisição indefinidamente;Tratar a resposta como um erro grave|1
REST|EASY_PLUS|O código HTTP 402, embora raramente utilizado na prática, está reservado conceitualmente para indicar:|A necessidade de pagamento para acessar o recurso;Sucesso total da requisição;Um erro interno grave e não especificado do servidor;Um redirecionamento temporário|1
