# Formato: categoria|dificuldade|enunciado|alternativa1;alternativa2;alternativa3;alternativa4|correta(1-4)
# enunciado = "Codigo:\n<codigo>\n---\n<pergunta>"  ( \n = quebra de linha )
# BANCO DE PERGUNTAS - ESTRUTURAS BASICAS DE CODIGO EM KOTLIN (50 perguntas)
KOTLIN|VERY_EASY|Código:\nval nome = "Ana"\n---\nO que essa linha faz?|Declara uma variável imutável chamada "nome" com o valor "Ana";Declara uma função chamada "nome";Declara uma classe chamada "nome";Declara uma lista vazia|1
KOTLIN|VERY_EASY|Código:\nvar idade = 20\n---\nO que essa linha faz?|Declara uma variável mutável chamada "idade" com valor 20;Declara uma constante que nunca pode mudar;Declara uma função;Declara uma interface|1
KOTLIN|VERY_EASY|Código:\nfun saudacao() {\n    println("Olá!")\n}\n---\nO que esse código declara?|Uma função chamada "saudacao" que imprime "Olá!";Uma classe chamada "saudacao";Uma variável chamada "saudacao";Uma lista de saudações|1
KOTLIN|VERY_EASY|Código:\nclass Pessoa\n---\nO que essa linha faz?|Declara uma classe chamada "Pessoa";Declara uma função chamada "Pessoa";Declara uma variável chamada "Pessoa";Declara um comentário|1
KOTLIN|VERY_EASY|Código:\nval lista = listOf(1, 2, 3)\n---\nO que essa linha cria?|Uma lista imutável contendo os números 1, 2 e 3;Uma lista vazia;Um mapa (Map) com três chaves;Uma função que retorna números|1
KOTLIN|EASY|Código:\nval numeros = mutableListOf(1, 2, 3)\n---\nO que essa linha cria?|Uma lista mutável, que pode ter elementos adicionados ou removidos;Uma lista que nunca pode ser alterada;Um conjunto (Set) sem duplicatas;Uma variável do tipo String|1
KOTLIN|EASY|Código:\nif (idade >= 18) {\n    println("Maior de idade")\n} else {\n    println("Menor de idade")\n}\n---\nO que esse trecho faz?|Verifica uma condição e imprime uma mensagem diferente dependendo do resultado;Sempre imprime "Maior de idade";Declara uma nova classe;Cria uma lista de idades|1
KOTLIN|EASY|Código:\nval texto = "Olá, $nome!"\n---\nO que representa o $nome dentro da string?|Uma interpolação de string que insere o valor da variável "nome";Um comentário dentro do texto;Um erro de sintaxe;Um símbolo sem função alguma|1
KOTLIN|EASY|Código:\nfor (i in 1..5) {\n    println(i)\n}\n---\nO que esse código faz?|Imprime os números de 1 a 5;Imprime apenas o número 5;Imprime números de 5 a 1;Gera um erro de compilação|1
KOTLIN|EASY|Código:\nval map = mapOf("a" to 1, "b" to 2)\n---\nO que essa linha cria?|Um mapa (dicionário) associando chaves a valores;Uma lista de strings;Um conjunto (Set) de números;Uma classe chamada "map"|1
KOTLIN|EASY_PLUS|Código:\nfun soma(a: Int, b: Int): Int {\n    return a + b\n}\n---\nO que essa função faz?|Recebe dois números inteiros e retorna a soma deles;Recebe dois números e retorna a subtração;Não retorna nenhum valor;Declara uma nova classe|1
KOTLIN|EASY_PLUS|Código:\nval quadrado: (Int) -> Int = { x -> x * x }\n---\nO que essa linha representa?|Uma expressão lambda que calcula o quadrado de um número;Uma classe chamada "quadrado";Uma lista de números elevados ao quadrado já calculada;Um erro de sintaxe, pois Kotlin não suporta lambdas|1
KOTLIN|EASY_PLUS|Código:\nwhen (dia) {\n    1 -> println("Segunda")\n    2 -> println("Terça")\n    else -> println("Outro dia")\n}\n---\nO que esse código faz?|Verifica o valor de "dia" e executa uma ação diferente para cada caso;Sempre imprime "Outro dia";Declara uma nova função chamada "when";Cria uma lista de dias da semana|1
KOTLIN|EASY_PLUS|Código:\nval nome: String? = null\n---\nO que o símbolo ? após "String" indica?|Que a variável pode aceitar o valor nulo;Que a variável é obrigatoriamente não nula;Que a variável é uma lista;Que a variável é uma constante|1
KOTLIN|EASY_PLUS|Código:\nval resultado = nome?.length ?: 0\n---\nO que essa linha faz?|Retorna o tamanho de "nome" se não for nulo, ou 0 caso contrário;Sempre retorna 0, independentemente do valor de "nome";Lança um erro se "nome" for nulo;Declara uma nova classe chamada "resultado"|1
KOTLIN|MEDIUM|Código:\ndata class Usuario(val nome: String, val idade: Int)\n---\nO que a palavra-chave data proporciona automaticamente a essa classe?|Geração automática de métodos como equals(), hashCode() e toString();Impede que a classe seja instanciada;Torna a classe abstrata automaticamente;Torna todos os atributos privados|1
KOTLIN|MEDIUM|Código:\nclass Animal(val nome: String) {\n    fun emitirSom() {\n        println("$nome faz um som")\n    }\n}\nval a = Animal("Cachorro")\na.emitirSom()\n---\nO que será impresso ao executar esse código?|"Cachorro faz um som";"Animal faz um som";Um erro de compilação;Nada será impresso|1
KOTLIN|MEDIUM|Código:\nfun saudacao(nome: String = "Visitante") {\n    println("Olá, $nome")\n}\nsaudacao()\n---\nO que será impresso ao chamar saudacao() sem argumentos?|"Olá, Visitante";Um erro de compilação, pois o parâmetro é obrigatório;"Olá, null";Nada será impresso|1
KOTLIN|MEDIUM|Código:\nval numeros = listOf(1, 2, 3, 4, 5)\nval pares = numeros.filter { it % 2 == 0 }\n---\nO que a variável "pares" conterá após essa execução?|Uma lista contendo apenas os números pares: [2, 4];A lista original sem alterações;A soma de todos os números;Uma lista vazia|1
KOTLIN|MEDIUM|Código:\nval numeros = listOf(1, 2, 3)\nval dobrados = numeros.map { it * 2 }\n---\nO que a variável "dobrados" conterá?|Uma nova lista com cada número multiplicado por 2: [2, 4, 6];A mesma lista original sem alterações;A soma de todos os elementos;Um erro de compilação|1
KOTLIN|MEDIUM_PLUS|Código:\nopen class Animal {\n    open fun emitirSom() {\n        println("Som genérico")\n    }\n}\nclass Gato : Animal() {\n    override fun emitirSom() {\n        println("Miau")\n    }\n}\nval a: Animal = Gato()\na.emitirSom()\n---\nO que será impresso?|"Miau";"Som genérico";Um erro de compilação;Nada será impresso|1
KOTLIN|MEDIUM_PLUS|Código:\nenum class Status {\n    ATIVO, INATIVO, PENDENTE\n}\n---\nO que essa declaração representa?|Um tipo enumerado com três valores possíveis e fixos;Uma classe abstrata sem valores definidos;Uma interface funcional;Uma lista mutável de strings|1
KOTLIN|MEDIUM_PLUS|Código:\nsealed class Resultado\nclass Sucesso(val dado: String) : Resultado()\nclass Erro(val mensagem: String) : Resultado()\n---\nO que a palavra-chave sealed proporciona nesse contexto?|Restringe as subclasses de "Resultado" a um conjunto conhecido em tempo de compilação;Impede totalmente que a classe tenha qualquer subclasse;Torna a classe pública para qualquer módulo externo;Cria automaticamente uma lista de resultados|1
KOTLIN|MEDIUM_PLUS|Código:\nobject Configuracao {\n    val versao = "1.0"\n}\nprintln(Configuracao.versao)\n---\nO que a palavra-chave object cria nesse caso?|Um singleton, com uma única instância acessível globalmente;Uma nova instância a cada chamada;Uma função anônima;Uma lista de configurações|1
KOTLIN|MEDIUM_PLUS|Código:\nval (nome, idade) = Pair("Maria", 30)\nprintln(nome)\nprintln(idade)\n---\nO que esse código demonstra?|Desestruturação (destructuring) de um Pair em duas variáveis separadas;Criação de uma nova classe chamada "Pair";Um erro de compilação, pois Pair não pode ser desestruturado;A criação de uma lista com dois elementos|1
KOTLIN|HARD|Código:\nfun Int.dobro(): Int {\n    return this * 2\n}\nprintln(5.dobro())\n---\nO que esse código demonstra e qual o resultado impresso?|Uma extension function que dobra um Int, e o resultado impresso é 10;Uma classe estendendo Int, e o resultado é um erro;Uma função anônima sem relação com Int, que imprime 5;Um erro de compilação, pois Int não pode ser estendido|1
KOTLIN|HARD|Código:\nclass Contador {\n    companion object {\n        var total = 0\n        fun incrementar() { total++ }\n    }\n}\nContador.incrementar()\nprintln(Contador.total)\n---\nO que será impresso?|1;0;Um erro de compilação;"Contador.total"|1
KOTLIN|HARD|Código:\nval texto: String? = "Kotlin"\nif (texto != null) {\n    println(texto.length)\n}\n---\nEsse comportamento, em que o compilador reconhece automaticamente que "texto" não é nulo dentro do bloco if, é chamado de:|Smart cast;Type erasure;Reflection;Garbage collection|1
KOTLIN|HARD|Código:\ntry {\n    val resultado = 10 / 0\n} catch (e: ArithmeticException) {\n    println("Erro: ${e.message}")\n}\n---\nO que esse código demonstra?|Tratamento de exceção para evitar que o programa quebre ao dividir por zero;Uma divisão bem-sucedida sempre;A criação de uma nova classe de exceção;Um erro de sintaxe, pois Kotlin não suporta try/catch|1
KOTLIN|HARD|Código:\ninterface Forma {\n    fun area(): Double\n}\nclass Quadrado(val lado: Double) : Forma {\n    override fun area(): Double = lado * lado\n}\n---\nO que esse código demonstra?|Uma classe implementando um contrato definido por uma interface;Uma classe herdando de outra classe concreta;Um erro de compilação, pois interfaces não podem ter métodos;A criação de um objeto singleton|1
KOTLIN|HARD_PLUS|Código:\nval lista = listOf(1, 2, 3, 4, 5)\nval resultado = lista.reduce { acc, valor -> acc + valor }\nprintln(resultado)\n---\nO que será impresso?|15 (a soma de todos os elementos);A lista original sem alterações;O maior valor da lista;Um erro de compilação|1
KOTLIN|HARD_PLUS|Código:\nclass Caixa<T>(val conteudo: T)\nval caixaTexto = Caixa("Kotlin")\nval caixaNumero = Caixa(42)\n---\nO que esse código demonstra?|O uso de Generics, permitindo que a classe trabalhe com diferentes tipos;Um erro de compilação, pois Kotlin não suporta tipos genéricos;Herança múltipla entre classes;Uma função de extensão|1
KOTLIN|HARD_PLUS|Código:\nlateinit var nome: String\nfun inicializar() {\n    nome = "Kotlin"\n}\n---\nO que a palavra-chave lateinit indica nesse contexto?|Que a variável será inicializada posteriormente, antes de ser usada;Que a variável é constante e nunca pode mudar;Que a variável pode ser nula;Que a variável é inicializada automaticamente com valor padrão zero|1
